# This file was produced by samtools stats (1.9+htslib-1.9) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -t target.bed AH_S1_L001_sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	b6fa63a7	d13f77d8	35aa6b32
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	114147
SN	filtered sequences:	0
SN	sequences:	114147
SN	is sorted:	1
SN	1st fragments:	57085
SN	last fragments:	57062
SN	reads mapped:	114111
SN	reads mapped and paired:	113930	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	36
SN	reads properly paired:	102539	# proper-pair bit set
SN	reads paired:	114147	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	85	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	total length:	16543950	# ignores clipping
SN	total first fragment length:	8273861	# ignores clipping
SN	total last fragment length:	8270089	# ignores clipping
SN	bases mapped:	16538606	# ignores clipping
SN	bases mapped (cigar):	14445865	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	60692	# from NM fields
SN	error rate:	4.201340e-03	# mismatches / bases mapped (cigar)
SN	average length:	144
SN	average first fragment length:	145
SN	average last fragment length:	145
SN	maximum length:	150
SN	maximum first fragment length:	150
SN	maximum last fragment length:	150
SN	average quality:	34.2
SN	insert size average:	198.6
SN	insert size standard deviation:	76.7
SN	inward oriented pairs:	41969
SN	outward oriented pairs:	14985
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	8
SN	percentage of properly paired reads (%):	89.8
SN	bases inside the target:	23728
SN	percentage of target genome with coverage > 0 (%):	11.41
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	28	0	0	0	0	0	0	0	0	0	0	0	745	0	0	0	0	0	0	503	0	0	0	0	0	23	0	0	0	0	55786	0	0	0	0	0
FFQ	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	707	0	0	0	0	0	0	378	0	0	0	0	0	15	0	0	0	0	55983	0	0	0	0	0
FFQ	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	0	0	0	0	0	0	322	0	0	0	0	0	16	0	0	0	0	56166	0	0	0	0	0
FFQ	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	252	0	0	0	0	0	11	0	0	0	0	56426	0	0	0	0	0
FFQ	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1296	0	0	0	0	0	0	437	0	0	0	0	0	7	0	0	0	0	55345	0	0	0	0	0
FFQ	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	580	0	0	0	0	0	0	470	0	0	0	0	0	7	0	0	0	0	1500	0	0	0	54528	0
FFQ	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917	0	0	0	0	0	0	325	0	0	0	0	0	3	0	0	0	0	2174	0	0	0	53666	0
FFQ	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718	0	0	0	0	0	0	240	0	0	0	0	0	2	0	0	0	0	1583	0	0	0	54542	0
FFQ	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	711	0	0	0	0	0	0	342	0	0	0	0	0	1	0	0	0	0	1836	0	0	0	54195	0
FFQ	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	0	0	0	0	0	0	184	0	0	0	0	0	1	0	0	0	0	1317	0	0	0	55002	0
FFQ	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	673	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	1758	0	0	0	54339	0
